x,y,vx,vy,pressure,type
-6.66752364e-02,-6.66752364e-02,-4.23722477e-01,-4.23722477e-01,0.00000000e+00,0
-4.49425632e-02,-4.68502622e-02,-2.85882993e-01,-3.02296167e-01,0.00000000e+00,0
4.49425617e-02,-4.68502619e-02,2.85882987e-01,-3.02296146e-01,0.00000000e+00,0
6.66752364e-02,-6.66752364e-02,4.23722477e-01,-4.23722477e-01,0.00000000e+00,0
-6.35223395e-02,-6.35223395e-02,-4.02524465e-01,-4.02524465e-01,0.00000000e+00,0
-3.40783096e-02,-4.74221283e-02,-2.25957758e-01,-2.96864034e-01,0.00000000e+00,0
-3.69312009e-02,-5.65619985e-02,-2.52640322e-01,-3.59224181e-01,0.00000000e+00,0
3.69312027e-02,-5.65619986e-02,2.52640337e-01,-3.59224181e-01,0.00000000e+00,0
3.40783200e-02,-4.74221333e-02,2.25957865e-01,-2.96864061e-01,0.00000000e+00,0
6.35223395e-02,-6.35223395e-02,4.02524465e-01,-4.02524465e-01,0.00000000e+00,0
-4.68502622e-02,-4.49425632e-02,-3.02296167e-01,-2.85882993e-01,0.00000000e+00,0
-4.74221283e-02,-3.40783096e-02,-2.96864034e-01,-2.25957758e-01,0.00000000e+00,0
-3.61678822e-02,-3.61678822e-02,-2.45104052e-01,-2.45104052e-01,0.00000000e+00,0
-8.62695925e-03,-5.35965126e-02,-6.74764540e-02,-3.95976390e-01,0.00000000e+00,0
8.69197309e-03,-5.41620697e-02,6.79898647e-02,-4.00643544e-01,0.00000000e+00,0
3.61827383e-02,-3.61827383e-02,2.45221383e-01,-2.45221383e-01,0.00000000e+00,0
4.74221333e-02,-3.40783200e-02,2.96864061e-01,-2.25957865e-01,0.00000000e+00,0
4.68502619e-02,-4.49425617e-02,3.02296146e-01,-2.85882987e-01,0.00000000e+00,0
-5.65619985e-02,-3.69312009e-02,-3.59224181e-01,-2.52640322e-01,0.00000000e+00,0
-5.35965126e-02,-8.62695925e-03,-3.95976390e-01,-6.74764540e-02,0.00000000e+00,0
-9.82726517e-03,-9.82726517e-03,-7.30889245e-02,-7.30889245e-02,0.00000000e+00,0
6.19666021e-03,-6.19666021e-03,4.44438534e-02,-4.44438534e-02,0.00000000e+00,0
5.41620697e-02,-8.69197309e-03,4.00643544e-01,-6.79898647e-02,0.00000000e+00,0
5.65619986e-02,-3.69312027e-02,3.59224181e-01,-2.52640337e-01,0.00000000e+00,0
-5.65619986e-02,3.69312027e-02,-3.59224181e-01,2.52640337e-01,0.00000000e+00,0
-5.41620697e-02,8.69197309e-03,-4.00643544e-01,6.79898647e-02,0.00000000e+00,0
-6.19666021e-03,6.19666021e-03,-4.44438534e-02,4.44438534e-02,0.00000000e+00,0
9.82726517e-03,9.82726517e-03,7.30889245e-02,7.30889245e-02,0.00000000e+00,0
5.35965126e-02,8.62695925e-03,3.95976390e-01,6.74764540e-02,0.00000000e+00,0
5.65619985e-02,3.69312009e-02,3.59224181e-01,2.52640322e-01,0.00000000e+00,0
-4.68502619e-02,4.49425617e-02,-3.02296146e-01,2.85882987e-01,0.00000000e+00,0
-4.74221333e-02,3.40783200e-02,-2.96864061e-01,2.25957865e-01,0.00000000e+00,0
-3.61827383e-02,3.61827383e-02,-2.45221383e-01,2.45221383e-01,0.00000000e+00,0
-8.69197309e-03,5.41620697e-02,-6.79898647e-02,4.00643544e-01,0.00000000e+00,0
8.62695925e-03,5.35965126e-02,6.74764540e-02,3.95976390e-01,0.00000000e+00,0
3.61678822e-02,3.61678822e-02,2.45104052e-01,2.45104052e-01,0.00000000e+00,0
4.74221283e-02,3.40783096e-02,2.96864034e-01,2.25957758e-01,0.00000000e+00,0
4.68502622e-02,4.49425632e-02,3.02296167e-01,2.85882993e-01,0.00000000e+00,0
-6.35223395e-02,6.35223395e-02,-4.02524465e-01,4.02524465e-01,0.00000000e+00,0
-3.40783200e-02,4.74221333e-02,-2.25957865e-01,2.96864061e-01,0.00000000e+00,0
-3.69312027e-02,5.65619986e-02,-2.52640337e-01,3.59224181e-01,0.00000000e+00,0
3.69312009e-02,5.65619985e-02,2.52640322e-01,3.59224181e-01,0.00000000e+00,0
3.40783096e-02,4.74221283e-02,2.25957758e-01,2.96864034e-01,0.00000000e+00,0
6.35223395e-02,6.35223395e-02,4.02524465e-01,4.02524465e-01,0.00000000e+00,0
-6.66752364e-02,6.66752364e-02,-4.23722477e-01,4.23722477e-01,0.00000000e+00,0
-4.49425617e-02,4.68502619e-02,-2.85882987e-01,3.02296146e-01,0.00000000e+00,0
4.49425632e-02,4.68502622e-02,2.85882993e-01,3.02296167e-01,0.00000000e+00,0
6.66752364e-02,6.66752364e-02,4.23722477e-01,4.23722477e-01,0.00000000e+00,0
