x,y,z,vx,vy,vz,pressure,type
-1.19947509e-03,3.58059185e-04,-7.23306941e-04,1.34009358e-03,-3.99943878e-03,1.26071694e-02,0.00000000e+00,0
-1.06175538e-03,1.61573962e-04,-8.08827876e-04,1.61656960e-02,-1.16282664e-02,-4.26498914e-03,0.00000000e+00,0
-9.76402099e-04,2.98407032e-04,-9.87763299e-04,-1.09110982e-02,2.42349390e-02,4.99415063e-03,7.59352724e+02,0
-9.25021502e-04,3.28516386e-04,-1.04567850e-03,1.69999124e-02,2.90778095e-02,-9.27675556e-03,7.62838649e+02,0
-8.86517082e-04,1.55605299e-04,-9.87738049e-04,2.67762052e-02,5.47942377e-03,-6.73218180e-03,5.62369882e+02,0
-8.72664230e-04,3.64588324e-04,-1.10051297e-03,3.12569199e-02,1.01984384e-02,2.15784388e-02,0.00000000e+00,0
-6.45279860e-04,2.17748882e-04,-1.19425054e-03,1.19940105e-02,-2.47034644e-02,-2.53017285e-03,0.00000000e+00,0
-5.08693026e-04,2.43909285e-04,-1.26872359e-03,5.82624696e-02,3.50738354e-02,2.39588551e-02,0.00000000e+00,0
-4.72131206e-04,5.41289377e-04,-1.23086451e-03,-2.75646686e-02,-9.97673196e-03,7.68421563e-03,8.89942770e+02,0
-3.87213400e-04,8.67192688e-04,-1.02343114e-03,-9.25748542e-03,3.49043797e-02,2.65064906e-02,1.39474494e+03,0
-2.11916994e-04,9.15879687e-04,-9.83293422e-04,-5.37409560e-04,2.66911714e-02,1.41825370e-02,1.42912864e+03,0
-3.67600231e-04,9.67371033e-04,-1.07616789e-03,-8.78911892e-03,1.73150062e-02,-2.36873301e-03,1.35430765e+03,0
-1.17677246e-04,7.80200440e-04,-9.89579521e-04,7.45488181e-03,1.66806339e-02,1.71761282e-02,1.48375866e+03,0
-1.04837658e-04,2.38347646e-04,-1.36344426e-03,-5.11664669e-02,6.53011842e-03,-6.55761662e-02,1.32248674e+03,0
-1.05395018e-05,2.48731087e-04,-1.37328081e-03,-1.15161614e-02,-1.96060746e-02,-6.75006788e-02,1.35368724e+03,0
4.91243358e-04,1.29513909e-04,-1.19056931e-03,3.75871444e-04,2.48689704e-02,-2.36925630e-02,0.00000000e+00,0
1.74044575e-04,7.52660495e-04,-6.03028756e-04,1.06154714e-02,2.58004300e-02,-1.45476200e-02,2.38897231e+03,0
4.78080743e-04,2.81854328e-04,-1.28608931e-03,1.52988028e-03,-6.79598606e-03,2.60209001e-02,0.00000000e+00,0
4.99925765e-04,9.02554533e-04,-1.04585739e-03,1.31442715e-03,-4.51326060e-03,-1.40019753e-02,1.03316460e+03,0
